"Station Name","Station Number","River","Aquatic Model Index","Water Body Id","Water Code","Station Type","Quadi","Township","Range","Section","Quarter Section","Grid","Station Quad","Rw Watershed","Wqcc Watershed","Hydro Unit8","Eco Region","Elevation","Watershed Report","Longitude","Latitude","County","State","Near City","Move","Description","Utmx","Utmy","Region","Comments","Usgs","State Engineering"
"East Br",675,"Coal Cr",,"COSPBO06","10607 - COAL CREEK","Chemical",,,,"9","NWSW","H1","Lafayette","South Platte","Boulder Creek","10190005","W High Plains Flat to Rolling Cropland",5272,"Boulder and Saint Vrain Tribs",-105.1179,39.976,"Boulder","Colorado","Lafayette","NAD83","Head northwest on 23rd St/Park Ave W toward CO-33/Larimer St. Continue to follow Park Ave W. Take the ramp to I-70 N/Grand Jct/Limon/I-25 N472 ft. Keep left at the fork, follow signs for I-25 N/Fort Collins and merge onto I-25 N19. Take exit 232 toward Dacono/Erie. Turn left at Highway 8/Perry St (signs for Erie). Continue to follow Highway 8. Turn right at Kattell Ave. Destination will be on the right. We have been sampling just below the parking lot next to the play ground.  ",489931,4425096,"13N","Bridge that crosses 62 Rd or Empire Rd.  5/10/12 - BS updt coords per Chris Theel memo.","Yes","No"
"Blw Dam Abv WWTP",676,"Big Thompson","SP1149","COSPBT02","12358 - THOMPSON R, BIG #3","Chemical","F-30","5N","72W","29",,"D4","Glen Haven","South Platte","Big Thompson","10190006","S Rockies High Elevation Tundra",7442,"Big Thompson",-105.4854786,40.37632427,"Larimer","Colorado","Estes Park","NAD83","From junction of US Hwys 34 & 36 in the town Estes Park, travel 2.1 mi east on 34 before turning right onto Mall Rd (county Rd 63).  Proceed across bridge, then take first right into Wapiti Meadows.  Sample here, at gaging station.",458788,4469640,"13N","AQ Index <400 Feet","Yes","No"
"Hwy 119",685,"S Boulder Cr","","COSPBO04A","10328 - BOULDER CREEK, S #3","Chemical",,,,"36","SESE","H5","Nederland","South Platte","Boulder Creek","10190005","W High Plains Moderate Relief Rangeland",8384,"Boulder and Saint Vrain Tribs",-105.5021,39.9147,"Gilpin","Colorado","Nederland","NAD83",,457088,4418415,"13N","got from being in h20.  7/8/14 - BS moved fr 457088/4418210 to put on water at CO-119.
Aq. Index NULL","Yes","No"
"Hwy 6 Br",686,"Eagle","CR6320","COUCEA09C","20026 - EAGLE RIVER #1","Chemical",,"4S","84W","32","SENE","F7","Eagle","Colorado","Eagle","14010003","S Rockies Low to Middle Elevation Semi-Desert Shru",6600,"Eagle",-106.8252,39.6568,"Eagle","Colorado","Eagle","NAD83","Depart from I-70 at Exit 147 (Eagle exit).  From this interchange, travel approx 1/4 mi south to bridge over Eagle River.",343418,4391261,"13N","AQ Index <400 Feet
2/28/13 - BS Updt coords per description (WS Rpt activity).","Yes","No"
"Above Morrison Gauge",716,"Bear Cr","SP3191","COSPBE01E","10075 - BEAR CREEK #2","Chemical",,"4S","70W","35","SWSE","F2","Morrison","South Platte","Bear Creek","10190002","W High Plains Flat to Rolling Cropland",5802,"S Platte Tribs not in list,N Platte Main and Tribs",-105.197,39.6526,"Jefferson","Colorado","Wheatridge","NAD83",,483100,4389222,"13N","Changed name from just Above Morrison - never sampled.  5/10/12 - BS updt coords per Chris Theel memo. BS moved from WBID COSPBE02.","Yes","No"
"Below Bear Cr Lk",717,"Bear Cr","SP0979","COSPBE02","10063 - BEAR CREEK #1","Chemical",,,,"32","SENW","F2","Morrison","South Platte","Bear Creek","10190002","W High Plains Flat to Rolling Cropland",5300,"S Platte Tribs not in list,N Platte Main and Tribs",-105.1330272,39.65562,"Jefferson","Colorado","Wheatridge","NAD83",,488588,4389544,"13N","Aq. Index > 200m","Yes","No"
"20th St Gauge",729,"S Platte","SP1003","COSPUS14","12649 - SOUTH PLATTE R # 8","Chemical","K-33","3S","68W","28",,"G1","Arvada","South Platte","Upper South Platte","10190003","W High Plains Flat to Rolling Cropland",5180,"Upper Middle S Platte (Waterton Cyn thru Denver)",-105.004833,39.758584,"Denver","Colorado","Denver","NAD83","Depart from I-25 in city of Denver at 20th St exit, and travel 1 blk southeast on 20th to Lipan St.  Turn right, then right again at 19th St.  Proceed to bridge; sample at gaging station just upstream from OLD 19th St bridge.",499586,4400963,"13N","same as 228","Yes","No"
"Red Cliff",744,"Homestake Cr","CR2177","COUCEA02","20622 - HOMESTAKE CR #1","Biological, Chemical, Physical",,,,"19","SWNE","E3","Red Cliff","Colorado","Eagle","14010003","S Rockies Cool and Moist Forests of the Middle to",8597,"Eagle",-106.3781594,39.50588284,"Eagle","Colorado","Redcliff","NAD83",,381515,4373824,"13N","Is on Homestake Cr, not Eagle, but no option in list of available Rivers (BS 1/13).","Yes","No"
"Vermillion Falls",762,"Vermillion Cr","GR0001","COLCLY22C","21503 - VERMILLION CREEK","Sandy Substrate",,"9N","101W","21","SWNE","F7","Jack Springs","Green","Yampa","14040109","WY Basin Semiarid to Arid Shrublands",5646,"Yampa and White",-108.7579841,40.72234764,"Moffat","Colorado","Craig","NAD83","From Craig, go west on Hwy 40 to Maybell, approx 30 miles. Take 318 west to Brown's Park, approx. 40 miles. At Hwy marker 21 turn left go 1/4 mile.",182591,4514732,"12N","1 time  for field trip","Yes","No"
"Difficult CG",769,"Roaring Fk","","COUCRF02","21749 - ROARING FORK R #4","Chemical",,,,,,"B7","Aspen","Colorado","Roaring Fork","14010004","S Rockies Warm and Dry Forests of the Middle to Lo",8100,"Roaring Fork",-106.7736625,39.1402108,"Pitkin","Colorado","Aspen","NAD83","From the intersection of Hwy 82 (Main St) and Mill St in Aspen, travel .2 miles and curve around onto Original St. Travel ,2 miles and make a left onto Cooper Ave (Hwy 82 is continuous). Then travel 3.4 miles to the Difficult campground gate. Continue on approx. .5 miles to picnic area.  Take trail that leads to river and stream gage. Sample here.",346714,4333834,"13N","paul? above aspen
Aq. Index NULL","Yes","No"
"Mill St Br",770,"Roaring Fk","CR0068","COUCRF02","21749 - ROARING FORK R #4","Chemical",,"10S","84W","7","SWNW","B7","Aspen","Colorado","Roaring Fork","14010004","S Rockies Cool and Moist Forests of the Middle to",7851,"Roaring Fork",-106.8175,39.1937,"Pitkin","Colorado","Aspen","NAD83","From the intersection of Hwy 82 (Main St) in Aspen make a left onto Mill St, travel .25 miles to bridge over Roaring Fk River Park at museum parking lot (Across bridge on right) and sample from bridge.",343047.5011,4339841.001,"12N","AQ Index <400 Feet
2/13/13 - Coords updt by BS.","Yes","No"
"Meredith",776,"Frying Pan","CR0255","COUCRF06","20406 - FRYINGPAN R #2","Chemical",,"8S","84W","11",,"C6","Meredith","Colorado","Roaring Fork","14010004","S Rockies Cool and Moist Forests of the Middle to",7800,"Roaring Fork",-106.7328779,39.36239274,"Pitkin","Colorado","Basalt","NAD83","From the intersection of Two Rivers Rd and Midland Ave in Basalt, travel 21.3 miles up the Frying Pan Rd to USGS gaging station on left .3 miles past bridge. Gagin Station is at river past turn-a-round.",350711,4358425,"13N",,"Yes","No"
"Emma",779,"Roaring Fk","CR0270","COUCRF03A","21725 - ROARING FORK R #2","Chemical",,"8S","87W","11",,"C1","Basalt","Colorado","Roaring Fork","14010004","S Rockies Warm and Dry Forests of the Middle to Lo",6870,"Roaring Fork",-107.0838842,39.37329362,"Eagle","Colorado","Basalt","NAD83","From intersection of Hwy 82 and Willits lane just north of Basalt, travel .75 miles down Willits lane, turn left at Hooks lane and sample off of bridge.",320497,4360274,"13N",,"Yes","No"
"Below Sunlight",789,"Fourmile Cr","CR2006","COUCRF03A","20331 - FOURMILE CREEK","Chemical, Physical",,,,"34","SWNW","D3","Cattle Creek","Colorado","Roaring Fork","14010004","S Rockies Warm and Dry Forests of the Middle to Lo",7784,"Roaring Fork",-107.323,39.4009,"Garfield","Colorado","Glenwood Springs","NAD83","From Hwy 82 in Glenwood Spgs turn W on 27th St, follow as it crosses the River curves to south and becomes Midland Ave.  About 1.5 mi from Hwy 82 turn right at stop sign onto 4mile Rd, CR117. Go about 8.5 mi until large pullout on left, before Sunlight Resort and cattle guard sign. Park, walk downstrm toward telepole and phone box, then follow trail down towards stream, go straight, not on switchbacks, to creek and sample in willow grove.",299978.55,4363844.03,"13N","Aq. Index > 200m","Yes","No"
"Battlement Cr",802,"Battlement Cr","CR3480","COLCLC09C","19059 - BATTLEMENT CREEK","Chemical, Physical",,"7S","95W","15","NESW","D1","Parachute","Colorado","Lower Colorado","14010005","S Rockies Low to Middle Elevation Semi-Desert Shru",6512,"Middle Colorado (Eagle R conf to Palisade)",-107.9817,39.439,"Garfield","Colorado","Rulison","NAD83","Take Parachute exit, turn left over highway till CR301 crosses the Colorado (also called Battlement Pkwy). Battlement Pkwy curves south, turn left on Sipperlle and go 0.3 miles, turn left on Underwood Lane and go 2.7 miles to a right hand turnout and picnic area.",243387,4369741,"13N","7/9/13 - BS chg'd coords per Desc from 276748/4348135. 7/13/14 - BS chg'd from WBID LC07A.
Aq. Index > 200m","Yes","Yes"
"Beaver Cr",803,"Beaver Cr",,"COLCLC07A","19097 - BEAVER CREEK","Biological, Chemical, Physical",,"7S","94W","1","NENW","D7","North Mamm Peak","Colorado","Lower Colorado","14010005","CO Plateaus Desert Shrublands",6685,"Middle Colorado (Eagle R conf to Palisade)",-107.8331,39.47161,"Garfield","Colorado","Rifle","NAD83","Take I-70 to Rifle Exit and proceed south to 7th Street. Turn right onto 7th Street which becomes CR 332 at “T”. Follow road up hill for 2.3 miles where it becomes CR 320",256294,4372946,"13N","2/13/14 - BS moved from LC09a to LC07A.","Yes","No"
"Fraser @ CR 83",806,"Fraser ","CR0348","COUCUC10C","20355 - FRASER RIVER #2","Biological, Chemical, Physical",,"1S","75W","18","SESE","H7","Fraser","Colorado","Upper Colorado","14010001","S Rockies Warm and Dry Forests of the Middle to Lo",8522,"Upper Colorado (Source to Eagle conf)",-105.815,39.952,"Grand","Colorado","Fraser","NAD83","Drive Route 40 north through Fraser. Immediately after passing through Fraser City limits on the north side turn right (East) on Route 8. Drive east for 0.2 miles until you hit the bridge where Route 8 crosses the Fraser River. Sampling will either be from the bridge or from the se bank of the river from the bridge.",430386,4422752,"13N","AQ Index <400 Feet
Gage installed or operating April 2011. 6/5/12 - BS updt coords per WQCD review.  3/27/13 - BS chgs from COUCUC10C to UC10B.","Yes","No"
"Battlement Cr",820,"Battlement Cr",,"COLCLC09C","19059 - BATTLEMENT CREEK","Biological, Chemical, Physical",,"7S","95W","15","NESW","D1","Parachute","Colorado","Upper Colorado","14010005","CO Plateaus Desert Shrublands",6518,"Middle Colorado (Eagle R conf to Palisade)",-107.9830307,39.44027669,"Garfield","Colorado","Parachute","NAD83","Exit I70 at town of Parachute and head East on CR300, cross over CO river, get onto CR301 about 2 mi, turn right on CR 338. Go uphill aboutl 1/2 mi and road turns east, site is on private land owned by teacher, downhill, below guage station still",243280,4369884,"13N","New station for GVSC in 2008. 
Diversion off of Battlement Creek, site moved 1 mi downstream due to safety in 11/2008. From UTMX 243581.03, Y 4369845.01, NAD27 to current site","Yes","No"
"Plateau Cr near Cameo",838,"Plateau Cr","CR0260","COLCLC16","21559 - PLATEAU CREEK #1","Chemical",,"10S","97W","18",,"B3","Cameo","Colorado","Lower Colorado","14010005","CO Plateaus Desert Shrublands",4836,"Middle Colorado (Eagle R conf to Palisade)",-108.2690611,39.18382721,"Mesa","Colorado","Collbran","NAD83","                                   At USGS Guage Station           ",217629,4342269,"13N","new in 01","Yes","No"
"Below dam",843,"Lincoln Cr","CR0043","COUCRF02","20987 - LINCOLN CREEK","Chemical",,,,,,"A5","Independence Pass","Colorado","Roaring Fork","14010004","S Rockies Cool and Moist Forests of the Middle to",10650,"Roaring Fork",-106.6172289,39.08035994,"Pitkin","Colorado","Aspen","NAD83","From intersection of Hwy 82 and Lincoln Cr Road, travel 6.6 mi to base of Grizzly Cr Reservoir Dam, turn down dirt road and collect sample in Lincoln Cr.",360116,4326939,"13N",,"Yes","No"
"Hecla Jct",849,"Arkansas",,"COARUA03","29024 - ARKANSAS R #8","Biological, Chemical, Physical",,"51N","8E","23","SWSE","E1","Salida West","Arkansas","Upper Arkansas","11020001","S Rockies Low to Middle Elevation Semi-Desert Shru",7100,"Upper Arkansas (Source to Pueblo Res)",-106.0508,38.6517,"Chaffee","Colorado","Salida","NAD83","Site is off Hecla Jct Exit off Hwy 285, about 1. 5mi north of Hwy 285 and Hwy 291 Jct, north west of Salida",408566.87,4278652.75,"13N",,"Yes","No"
"Blw Game Cr",866,"Eagle",,"COUCEA05C","20040 - EAGLE RIVER #3","Biological, Chemical, Physical",,,,"26","NWNW","E4","Minturn","Colorado","Eagle","14010003","S Rockies Low to Middle Elevation Semi-Desert Shru",7817,"Eagle",-106.4335891,39.59728525,"Eagle","Colorado","Minturn","NAD83",,376911,4384043,"13N",,"Yes","No"
"Hwy 160",898,"La Plata","SJ0042","COSJLP01","41020 - LA PLATA RIVER #1","Chemical",,"35N","11W","14","NWSW","B1","Kline","San Juan","La Plata, Mancos, McElmo, Lower San Juan","14080105","NM AZ Shrublands",8128,"San Juan",-108.0415,37.2916,"La Plata","Colorado","Hesperus","NAD83",,230380,4131555,"13N","Ann.  3/24/16 - BS moved fr 230381/4131382 to put on water.","Yes","No"
"Hwy 140",902,"La Plata","SJ0888","COSJLP02D","41020 - LA PLATA RIVER #1","Chemical",,"32N","13W","2","NWNW","A2","Redmesa","San Juan","La Plata, Mancos, McElmo, Lower San Juan","14080105","NM AZ Shrublands",6187,"San Juan",-108.1822,37.0511,"La Plata","Colorado","Redmesa","NAD83","Travel S on Hwy 140 from Durango off Hwy 160 some 20 mi, S on Hwy 141 another 15 mi, when Cr crosses Hwy sample W of hwy",217013,4105279,"13N","AQ Index <400 Feet","Yes","No"
"County Line",917,"Dolores","DO0019","COSJDO03","47072 - DOLORES RIVER #5","Chemical",,"39N","11W","15","SWSE","F1","Rico ","Dolores","Dolores","14030002","S Rockies Warm and Dry Forests of the Middle to Lo",8424,"San Miguel Dolores Tribs",-108.0601,37.6388,"Montezuma","Colorado","Dolores","NAD83",,229990,4170149,"13N","Guage Station.  3/24/16 - BS moved fr 229993/4169946 to put on water near gauge, and moved fr WBID COSJDO04A.","Yes","No"
"Blw Rifle Gap Res",929,"Rifle Cr","CR0747","COLCLC10","21674 - RIFLE CREEK","Biological",,"5S","92W","7","SWSE","E7","Rifle","Colorado","Lower Colorado","14010005","CO Plateaus Desert Shrublands",5864,"Lower Colorado (Palisade to state line)",-107.7613,39.6229,"Garfield","Colorado","Rifle","NAD83","In Rifle Gap State Park, travel to the Christo day use area south of the dam and sample below the gauging station.",262987.51,4389547.98,"13N","319 WD Plan study.  2/10/16 - BS completed metadata.","Yes","No"
"Hwy 385 Br",945,"Arkansas","AR0039","COARLA01C","28957 - ARKANSAS R #1","Sandy Substrate",,"22S","44W","36","NESW","A3","Granada","Arkansas","Lower Arkansas","11020009","SW Tablelands Grasslands",3472,"Lower Arkansas",-102.3107788,38.09512236,"Prowers","Colorado","Granada","NAD83","2.3 mi N from intersection Hwy385 and Hwy 50 on Hwy385. This is the center of Granada, CO.  Upstream of bridge by guage",735822,4219785,"13N",,"Yes","No"
"Whitewater Park",948,"Arkansas",,"COARUA03","29012 - ARKANSAS R #7","Chemical, Physical",,"50N","9E","32","SESE","E8","Salida East","Arkansas","Upper Arkansas","11020001","S Rockies Low to Middle Elevation Semi-Desert Shru",7083,"Upper Arkansas (Source to Pueblo Res)",-105.9902819,38.53804785,"Chaffee","Colorado","Salida","NAD83","In Salida, CO at the White water park, site is 100 feet above the park",413694,4265980,"13N",,"Yes","No"
"Abv Krauser Property",949,"Hermosa Cr",,"COSJAF12A","45799 - HERMOSA CREEK #1","Chemical",,"37N","9W","34","SWSW","D7","Hermosa","San Juan","Animas, Florida","14080104","S Rockies Warm and Dry Forests of the Middle to Lo",6778,"Animas",-107.849,37.4258,"La Plata","Colorado","Hermosa","NAD83","Take Hwy 550 N toward Silverton, W on CR 576 at Hermosa, travel up the road to private property permission required, at FS boundary at lower end of outstanding water section- site moved 200 yards downstream, From the start of La Plata County Road 202 at the intersection of County Road 203, take county road 202 for 0.7 miles to a private bridge on the left. Park and sample here with permission from private land owners of the bridge. Grab samples can be taken from the bank or bucket samples from the bridge- May 2019, private property, permission granted by owners",247899,4145923,"13N","3/31/14 - BS moved fr WBID COSJAF12C; and fr 4145888/247945 to put on water. 
Aq. Index NULL","Yes","No"
"Tigiwon Gauge",950,"Eagle",,"COUCEA05A","20040 - EAGLE RIVER #3","Biological, Chemical, Physical",,"6S","81W","1","SWNW","E4","Minturn","Colorado","Eagle","14010003","S Rockies Warm and Dry Forests of the Middle to Lo",8115,"Eagle",-106.4016,39.5542,"Eagle","Colorado","Minturn","NAD83","The station is located at the site of USGS stream gaging station 09064600, Eagle River near Minturn, CO.",379582,4379219,"13N","Location, UTM NAD 83   13S 0379522, 4379239
 
","Yes","No"
"Near Ice Lake",951,"Monument Cr",,"COARFO06","32932 - MONUMENT CREEK #2","Biological, Chemical, Physical",,"12S","67W","36","SESE","H7","Pikeview","Arkansas","Fountain Creek","11020003","SW Tablelands Grasslands",6373,"Fountain Cr",-104.8330326,38.95579159,"El Paso","Colorado","Colorado Springs","NAD83","Need permission on AFA",514467,4311884,"13N","lat and long per station information 11/2008
38 57 34.73W
104 50 03.65W
Aq. Index NULL","Yes","No"
"Whipple Trail",956,"Arkansas",,"COARUA03","29036 - ARKANSAS R #9A","Chemical, Physical",,,,"9","SWSE","G1","Buena Vista East","Arkansas","Upper Arkansas","11020001","S Rockies Warm and Dry Forests of the Middle to Lo",7900,"Upper Arkansas (Source to Pueblo Res)",-106.1210755,38.84549273,"Chaffee","Colorado","Buena Vista","NAD83",,402712,4300228,"13N","Here are our google earth lat & lon.

lat. = 38W, 50, 48.89

lon. = 106N, 07, 18.94
Aq. Index NULL","Yes","No"
"Kinicknick Br (6)",967,"Gore Cr",,"COUCEA08","20482 - GORE CREEK #1","Biological, Chemical, Physical",,,,"14","NWSE","F4","Vail West","Colorado","Eagle","14010003","S Rockies Low to Middle Elevation Semi-Desert Shru",7837,"Eagle",-106.4274991,39.6200201,"Eagle","Colorado","Vail","NAD83","W Vail Exit off I-70 at Kinicknick Br sample upstream",377474,4386558,"13N",,"Yes","No"
"Ford Pk (5)",968,"Gore Cr",,"COUCEA08","20482 - GORE CREEK #1","Chemical, Physical",,,,"11","NENE","F3","Vail East","Colorado","Eagle","14010003","S Rockies Low to Middle Elevation Semi-Desert Shru",8376,"Eagle",-106.3052141,39.64146963,"Eagle","Colorado","Vail","NAD83","E Vail Exit off I-70 before Vail, to SW to river",388005,4388779,"13N",,"Yes","No"
"E Vail Exit (4)",969,"Gore Cr","CR0263","COUCEA08","20482 - GORE CREEK #1","Biological, Chemical, Physical",,,,"8","NENE","F3","Vail East","Colorado","Eagle","14010003","S Rockies Low to Middle Elevation Semi-Desert Shru",8230,"Eagle",-106.35992723,39.64020217,"Eagle","Colorado","Vail","NAD83","Vail Valley Dr exit off I-70 before Vail travel over Gore Cr west to end of road, sample there",383308,4388708,"13N","Aq. Index > 200m","Yes","No"
"Twin Cedars",984,"S Platte","SP1215","COSPUS06A","14693 - SOUTH PLATTE R # 3B","Sandy Substrate",,"8S","70W","12","SENE","D2","Platte Canyon","South Platte","Upper South Platte","10190002","S Rockies Low to Middle Elevation Semi-Desert Shru",6194,"Upper S Platte (Source to Waterton Canyon)",-105.1668,39.3633,"Jefferson","Colorado","Deckers","NAD83","From Deckers, CO take CR67, 8.4 mi down river to Twin Cedars. A long parking area on the river, this site is at the downstream end of parkinig.",485631,4357102,"13N","5/10/12 - BS updt coords per Chris Theel memo.
1/19/2018 - moved coordinates upstream 0.8 miles for new group.
Aq. Index > 200m","Yes","No"
"Cropsy Cr A",2992,"Cropsy Cr",,"CORGAL06","46652 - CROPSY CREEK","Chemical",,"37N","3E","36","SWSE","D5","Summitville","Rio Grande","Alamosa, La Jara, Conejos","13010002","S Rockies High Elevation Tundra",11482,"Rio Grande Tribs",-106.58701,37.42014,"Rio Grande","Colorado","Summitville","NAD83",,359570,4142663,"13N","3 year science fair project, ea yr different focus, no exact lat/longs to be found. 8/17/16 - BS moved fr WBID CORGAL05 with caveat that new WBID does not specifically indicate ""tribs"".","Yes","Yes"
"Above Summitville",2996,"Wightman Fk","RG2041","CORGAL06","44913 - ALAMOSA R, WIGHTMAN FK","Chemical",,"37N","4E","30","NENW","D5","Summitville","Rio Grande","Alamosa, La Jara, Conejos","13010002","S Rockies High Elevation Tundra",11380,"Rio Grande Tribs",-106.60144,37.43142,"Rio Grande","Colorado","Summitville","NAD83",,358315,4143937,"13N","3 year science fair project, ea yr different focus.  8/16/16 - BS moved fr WBID CORGAL05.
Aq. Index NULL","Yes","No"
"W-C",3014,"Willow Cr","RG0677","CORGRG07","47503 - WILLOW CREEK","Chemical",,,,,,"G8","Creede","Rio Grande","Rio Grande","13010001","S Rockies High Elevation Tundra",8842,"Rio Grande Tribs",-106.92702,37.854036,"Mineral","Colorado","Creede","NAD83",,330470,4191370,"13N","Lat Long information incorrect, deleted.
Aq. Index NULL","Yes","No"
"RG4",3074,"Rio Grande",,"CORGRG04A","42539 - RIO GRANDE R #3","Chemical",,"41N","1E","8","NENE","H8","San Luis Peak","Rio Grande","Rio Grande","13010001","S Rockies High Elevation Tundra",8537,"Rio Grande Tribs",-106.8897,37.8219,"Mineral","Colorado","Creede","NAD83",,333683,4187732,"13N","5/15/00 - used to be stations 3064-3074 & 389 - combined with and changed to sta3074.  8/23/16 - BS moved fr obsolete WBID CORGRG04; identified as dup of 3179 (keep).  9/8/16 -  BS moved fr 333687/4187536 to put on water.
Aq. Index NULL","Yes","No"
"RESHOW",3090,"Monitoring Well",,"CORGRG04A",,"Chemical",,,,,,"H8","San Luis Peak","Rio Grande","Rio Grande","13010001","S Rockies High Elevation Tundra",0,"Rio Grande Tribs",-9,-9,"Mineral","Colorado","Creede","Nolatlongs",,-9,-9,"13N","Sample collected? No lat/long available","Yes","Yes"
"Mike Goldberg Well",3092,"Goldberg Well",,"CORGRG04A",,"Chemical",,,,,,"H8","San Luis Peak","Rio Grande","Rio Grande","13010001","S Rockies High Elevation Tundra",0,"Rio Grande Tribs",-9,-9,"Mineral","Colorado","Creede","Nolatlongs",,,,"13N","What was on chain of custody-5/22/01 - no lat/long available","Yes","Yes"
"Headgate Well",3094,"Headgate Well",,"CORGRG04A",,"Chemical",,"41N","1E","6","SENW","H8","San Luis Peak","Rio Grande","Rio Grande","13010001","S Rockies High Elevation Tundra",8626,"Rio Grande Tribs",-106.9126926,37.82957675,"Mineral","Colorado","Creede","NAD83",,331675,4188630,"13N","What was on chain of custody-5/22/01 - used to be sta 3088 - combined with and changed to sta3094.  8/22/16 - BS moved fr obsolete WBID CORGRG04.","Yes","Yes"
"At Guage",3147,"Wightman Fk","RG1935","CORGAL06","44913 - ALAMOSA R, WIGHTMAN FK","Chemical",,"37N","4E","35","NWSE","D5","Summitville","Rio Grande","Alamosa, La Jara, Conejos","13010002","S Rockies Cool and Moist Forests of the Middle to",9390,"Rio Grande Tribs",-106.52163,37.404,"Rio Grande","Colorado","Summitville","NAD83",,365327,4140778,"13N","no watercode","Yes","No"
"Above Terrace",3177,"Alamosa","RG1929","CORGAL03D","37932 - ALAMOSA RIVER #2","Chemical",,"36N","6E","16","NESW","C3","Terrace Reservoir","Rio Grande","Alamosa, La Jara, Conejos","13010002","S Rockies Warm and Dry Forests of the Middle to Lo",8606,"Rio Grande Tribs",-106.31929,37.3727,"Conejos","Colorado","Platoro","NAD83",,383187,4137035,"13N","Aq. Index > 200m","Yes","No"
"Below Terrace Res",3178,"Alamosa",,"CORGAL09","37920 - ALAMOSA RIVER #1","Chemical, Physical",,,,"23","SENE","C3","Terrace Reservoir","Rio Grande","Alamosa, La Jara, Conejos","13010002","S Rockies Warm and Dry Forests of the Middle to Lo",8427,"Rio Grande Tribs",-106.28479,37.35488,"Conejos","Colorado","Platoro","NAD83",,386216,4135016,"13N","Slightly above WQCD's Below Terrace Site","Yes","No"
"Monte Vista Guage",3182,"Rio Grande","RG2883","CORGRG04C","42527 - RIO GRANDE R #2","Chemical","CC-25","39N","8E","19","SWNW","E1","Homelake","Rio Grande","Rio Grande","13010002","NM AZ Irrigated Flatlands",7660,"Rio Grande Tribs",-106.1492,37.6093,"Rio Grande","Colorado","Monte Vista","NAD83",,398567,4163088,"13N","9/1/16 - BS moved fr 398576/4162886 to put on water and moved fr WBID CORGRG12.","Yes","No"
"G5",3205,"Duck Cr","SP3046","COSPUS05B","10811 - DUCK CREEK","Chemical",,"6S","75W","13","NWSE","E6","Mt. Evans","South Platte","Upper South Platte","10190002","S Rockies Cool and Moist Forests of the Middle to",9754,"S Platte Tribs not in list,N Platte Main and Tribs",-105.7315,39.529,"Park","Colorado","Grant","NAD83",,437136,4375733,"13N","used to be sta301 - combined with and changed to sta3205.  2/26/16 - BS moved from COSPUS05A.","Yes","No"
"Inlet to Dillon",3269,"Blue","CR2093","COUCBL01","19251 - BLUE RIVER #3","Chemical",,,,"31","SESW","E1","Frisco","Colorado","Blue","14010002","S Rockies Warm and Dry Forests of the Middle to Lo",9020,"Upper Colorado (Source to Eagle conf)",-106.0493794,39.56459354,"Summit","Colorado","Dillon","NAD83",,409858,4379959,"13N","used to be sta316 - combined with and changed to sta3269","Yes","No"
"Vallecito Res Outlet",3276,"Los Pinos","SJ0756","COSJPN02A","41272 - LOS PINOS RIVER #1","Chemical",,"36N","7W","13","SESE","D5","Vallecito Reservoir ","San Juan","Los Pinos","14080101","S Rockies Warm and Dry Forests of the Middle to Lo",7600,"Florida and Pine",-107.5781,37.3818,"La Plata","Colorado","Bayfield","NAD83",,271743,4140343,"13N","Used to be sta3479 - combined with and changed to sta3276.  3/25/16 - BS moved fr 271857/4140352 to put on water.
Aq. Index > 200m","Yes","No"
"Lower Collection Box",3280,"Quartz Cr",,"COGUUG19","42262 - QUARTZ CREEK","Chemical",,,,,,"E5","Pitkin","Gunnison","Upper Gunnison","14020003","CO Plateaus Desert Shrublands",0,"Gunnison Tribs",-9,-9,"Gunnison","Colorado","Pitkin","Nolatlongs",,-9,-9,"13N","no lat/long available-on Quartz Creek, trib to Tomichi Cr","Yes","Yes"
"Snow Melt Project",3281,"San Juan",,"COSJSJ09A","42919 - SAN JUAN RIVER #2","Chemical",,,,,,,,"San Juan","San Juan","14080101","S Rockies Warm and Dry Forests of the Middle to Lo",0,"San Juan",-9,-9,"Archuleta","Colorado","Pagosa Spgs","Nolatlongs",,-9,-9,"13N","no lat/long available -used to be sta316 - combined with and changed to sta3281","Yes","Yes"
"Hubbard House",3283,"Tap",,,"10544 - CLEAR CREEK #2","Chemical",,,,,,"G6","Empire","South Platte",,,,0,"Clear Cr",-9,-9,"Clear Creek","Colorado","Clear Creek","Nolatlongs",,-9,-9,"13N","no lat/long available - used to be sta316 - combined with and changed to sta3283","Yes","Yes"
"Gypsum",3298,"Eagle","CR0055","COUCEA09C","20026 - EAGLE RIVER #1","Chemical",,"5S","85W","5","NWNW","F8","Gypsum","Colorado","Eagle","14010003","S Rockies Low to Middle Elevation Semi-Desert Shru",6282,"Eagle",-106.9518,39.6504,"Eagle","Colorado","Gypsum","NAD83","Take Gypsum exit off I-70 and turn south.  Take first left after crossing Eagle River, proceed to bridge over Eagle River (not same bridge).",332542,4390781,"13N","AQ Index <400 Feet
Old Woodling Study, combined with 43 Eagle Valley HS.  3/1/13 - BS updt coords per description.","Yes","No"
